fix 0 all npt temp ${T0}. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. 0.2000000000000000111
run 500000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 7 7 7
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair born/coul/dsf, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 4.223 | 4.223 | 4.223 Mbytes
   Step         PotEng         Volume        Density         Press           Temp          TotEng        Enthalpy   
     15500  -6657.0929      45470.579      1.8440008      1381.7311      1152.9771     -6399.7112     -6360.497     
     15600  -6657.5244      45882.909      1.8274296     -765.68288      1112.5577     -6409.1656     -6431.0931    
     15700  -6662.9175      45104.831      1.8589535      1576.7788      1067.3116     -6424.6591     -6380.2693    
     15800  -6654.2372      45821.998      1.8298587     -694.15362      1090.083      -6410.8955     -6430.7482    
     15900  -6648.5649      45949.135      1.8247957     -500.76596      1105.3169     -6401.8225     -6416.1841    
     16000  -6664.7901      45388.379      1.8473403      909.42794      1088.9053     -6421.7113     -6395.948     
     16100  -6652.2664      45481.516      1.8435574      227.33821      1060.2798     -6415.5777     -6409.1242    
     16200  -6657.4824      45611.189      1.8383161      32.061524      1097.9124     -6412.3929     -6411.4802    
     16300  -6650.8989      45626.608      1.8376949      247.48134      1141.7114     -6396.032      -6388.9843    
     16400  -6662.2049      45771.125      1.8318926     -1388.7596      1083.6787     -6420.2929     -6459.9671    
     16500  -6664.8514      45213.311      1.8544933      331.00517      1128.5484     -6412.9229     -6403.582     
     16600  -6650.0146      45746.603      1.8328745      394.79225      1077.708      -6409.4354     -6398.163     
     16700  -6647.6301      46121.478      1.8179769     -559.78471      1096.7355     -6402.8033     -6418.9177    
     16800  -6660.0554      45539.807      1.8411976      310.33143      1077.4718     -6419.529      -6410.7082    
     16900  -6656.4383      45507.472      1.8425059      186.43261      1090.3758     -6413.0313     -6407.7359    
     17000  -6661.8126      45473.82       1.8438694     -121.35618      1102.9504     -6415.5984     -6419.0428    
     17100  -6657.7502      45725.465      1.8337218     -557.24482      1120.5563     -6407.6058     -6423.5094    
     17200  -6656.6414      45275.932      1.8519284      1088.5788      1137.0213     -6402.8216     -6372.0594    
     17300  -6661.4271      45950.124      1.8247564     -828.8868       1103.4718     -6415.0966     -6438.8689    
     17400  -6649.8562      45435.949      1.8454062      1058.8439      1124.3562     -6398.8636     -6368.8359    
     17500  -6651.5389      45878.517      1.8276045     -628.24696      1075.5539     -6411.4406     -6429.4305    
     17600  -6659.517       45535.193      1.8413842      835.38277      1074.4348     -6419.6685     -6395.9262    
     17700  -6652.7856      45485.548      1.8433939      1271.9704      1110.8373     -6404.8109     -6368.6998    
     17800  -6648.9455      46007.71       1.8224725     -639.469        1100.5073     -6403.2767     -6421.6396    
     17900  -6665.8723      45029.911      1.8620464      1924.6233      1103.7223     -6419.4859     -6365.3934    
     18000  -6656.0603      45660.269      1.8363401     -452.8358       1094.3538     -6411.7652     -6424.6705    
     18100  -6647.1149      46017.145      1.8220988     -836.55346      1088.1025     -6404.2153     -6428.2425    
     18200  -6664.4898      45018.723      1.8625092      1213.2369      1105.1932     -6417.775      -6383.6849    
     18300  -6652.4446      45454.135      1.8446679      376.34509      1067.9583     -6414.0418     -6403.3648    
     18400  -6651.2793      45639.396      1.8371799     -145.03181      1093.3067     -6407.218      -6411.3493    
     18500  -6659.5754      45508.207      1.8424761     -363.77635      1085.2086     -6417.3219     -6427.6546    
     18600  -6655.1909      45893.72       1.8269991     -1662.8507      1083.7963     -6413.2526     -6460.8843    
     18700  -6648.2353      45729.673      1.8335531      473.11227      1126.2761     -6396.8141     -6383.3104    
     18800  -6652.1681      45650.793      1.8367213      487.09398      1092.4401     -6408.3002     -6394.4215    
     18900  -6661.2299      45335.331      1.849502      -22.428603      1069.9395     -6422.3849     -6423.0195    
     19000  -6648.2003      45831.124      1.8294944     -692.41613      1087.2398     -6405.4933     -6425.3002    
     19100  -6663.3829      45432.586      1.8455428     -1.8737947      1146.1927     -6407.5156     -6407.5688    
     19200  -6660.6554      45650.594      1.8367293     -634.39583      1098.2215     -6415.4969     -6433.5727    
     19300  -6648.1013      45607.433      1.8384675      630.70266      1119.5277     -6398.1866     -6380.233     
     19400  -6651.5822      45724.722      1.8337516      63.123514      1092.0281     -6407.8063     -6406.0048    
     19500  -6660.5434      45943.538      1.825018      -1845.4931      1084.1772     -6418.5201     -6471.4409    
     19600  -6655.8163      45616.009      1.8381219     -369.57429      1091.3179     -6412.1989     -6422.7211    
     19700  -6648.2748      45824.064      1.8297763      244.12914      1094.3345     -6403.9841     -6397.0017    
     19800  -6661.5561      45464.674      1.8442403     -358.47709      1089.5415     -6418.3353     -6428.5077    
     19900  -6655.6814      45524.447      1.8418188      207.41843      1106.5606     -6408.6613     -6402.7677    
     20000  -6655.4122      45536.049      1.8413495      735.67608      1105.8574     -6408.5491     -6387.6402    
     20100  -6653.7583      45622.422      1.8378635     -599.75067      1094.3545     -6409.4631     -6426.5411    
     20200  -6652.9083      45621.758      1.8378902     -651.3418       1118.5184     -6403.2189     -6421.7658    
     20300  -6662.5038      45565.002      1.8401795     -1039.1708      1087.3673     -6419.7683     -6449.3218    
     20400  -6652.7544      45710.489      1.8343226      132.38617      1118.5609     -6403.0555     -6399.2784    
     20500  -6659.735       45611.154      1.8383175      411.31631      1119.3354     -6409.8632     -6398.1537    
